Brand,Category,BSI
The Travel Agency,Accessories,28.16
Puff Co,Accessories,20.68
Laundry Day,Accessories,19.97
Cloudious9,Accessories,19.95
Zig Zag,Accessories,19.31
RAW,Accessories,19.21
Sackville,Accessories,19.11
ZZZ's Collective,Accessories,18.13
Elevate Jane,Accessories,17.57
Go Easy,Accessories,17.41
ONGROK,Accessories,17.07
Vessel,Accessories,17.07
Rin,Accessories,16.86
Bic,Accessories,16.61
CCELL,Accessories,16.49
PETALS,Accessories,16.48
Oedo-Koh,Accessories,16.46
Jane West,Accessories,16.39
Elements,Accessories,16.09
Malachite,Accessories,16.05
NWTN Home,Accessories,15.79
Canna Style,Accessories,15.77
Rogue Paq,Accessories,15.71
Kannastor,Accessories,15.61
MJ Arsenal,Accessories,15.32
Holk,Accessories,15.21
Honest,Accessories,15.04
GRAV,Accessories,14.93
Tsubota Pearl,Accessories,14.83
La Jolie Muse,Accessories,14.74
Futurola,Accessories,14.65
The New Savant,Accessories,14.45
DaySavers,Accessories,14.3
Flower Mill,Accessories,13.95
SirEEL,Accessories,13.63
LuvBuds,Accessories,12.69
Candle By Design,Accessories,12.4
Snugbox,Accessories,10.54
Harney Brothers Cannabis,Beverages,31.5
Tune,Beverages,20.68
lay up,Beverages,16.83
MyHi,Beverages,16.48
Weed Water,Beverages,16.06
Chime & Chill,CBD,18.81
TribeTokes,CBD,17.09
Reunion,CBD,16.65
Remedy Plant Lab,CBD,16.04
Foria,CBD,16.02
Vlasic Labs,CBD,14.79
Silly Nice,Concentrates,20.34
Off Hours,Edibles,51.92
Camino,Edibles,48.4
Grön,Edibles,37.35
Wyld,Edibles,35.85
1906,Edibles,28.31
Lost Farm,Edibles,27.31
Eaton Botanicals,Edibles,24.59
Wana,Edibles,23.86
Bettering Co.,Edibles,23.56
Smokiez,Edibles,23.25
Foy,Edibles,20.73
Beboe,Edibles,20.63
Love Oui'd,Edibles,19.81
Kiva,Edibles,19.65
Highland Goat,Edibles,19.23
Incredibles,Edibles,18.85
Level,Edibles,18.46
Chef for Higher,Edibles,16.84
Good Tide,Edibles,16.4
Snobby Dankins,Edibles,12.52
Find.,Flower,52.26
Rythm,Flower,49.46
dank. by definition,Flower,49.39
Rolling Green Cannabis,Flower,39.82
LivWell,Flower,31.95
Alchemy Pure,Flower,25.48
Grassroots,Flower,24.75
Good Green,Flower,24.35
Platinum Reserve,Flower,24.07
SpaceBuds,Flower,23.74
FlowerHouse,Flower,23.06
butter,Flower,22.79
Stone Road,Flower,22.77
Old Pal,Flower,22.16
Woodstock,Flower,20.38
Umamii,Flower,19.8
Stay Melo,Flower,18.9
Priscillas Garden,Flower,17.5
Ithaca Organics,Flower,16.42
Ruby,Pre-Rolls,72.2
Nanticoke,Pre-Rolls,42.36
Florist Farms,Pre-Rolls,31.05
Hudson Cannabis,Pre-Rolls,29.5
MFNY,Pre-Rolls,29.2
Canna Cure Farms,Pre-Rolls,27.03
Weekenders,Pre-Rolls,25.74
Dogwalkers,Pre-Rolls,25.24
Toast,Pre-Rolls,24.19
Her Highness,Pre-Rolls,22.74
Flamer,Pre-Rolls,22.45
B Noble,Pre-Rolls,22.43
Miss Grass,Pre-Rolls,22.13
Drew Martin,Pre-Rolls,21.92
Blotter,Pre-Rolls,21.58
Lowell Farms,Pre-Rolls,21.13
STA Exotics,Pre-Rolls,20.57
Higgs,Pre-Rolls,19.16
KOA,Pre-Rolls,19.16
House of Puff,Pre-Rolls,19.08
Stiiizy,Pre-Rolls,18.98
High 5s,Pre-Rolls,18.37
Rosa Reta,Pre-Rolls,17.56
Ravens View Genetics,Pre-Rolls,17.34
Anthem,Pre-Rolls,17.07
Knack,Pre-Rolls,15.84
Jeeter,Pre-Rolls,15.49
High Peaks,Pre-Rolls,15.02
Head & Heal,Tinctures,22.62
Papa & Barkley,Topicals,16.98
Doctor Solomons,Topicals,16.73
Ayrloom,Vapor Pens,69.79
Fernway,Vapor Pens,39.27
Hepworth,Vapor Pens,37.98
Jaunty,Vapor Pens,37.42
PAX,Vapor Pens,30.03
Heavy Hitters,Vapor Pens,27.14
Rove,Vapor Pens,26.83
Edie Parker,Vapor Pens,26.19
Bloom,Vapor Pens,25.11
Select,Vapor Pens,24.63
Jetty,Vapor Pens,22.41
Olio,Vapor Pens,20.52
Moods,Vapor Pens,20.31
&Shine,Vapor Pens,20.28
Holiday,Vapor Pens,19.19
